Run # 0,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.124000896,0.921627824,14
1,0.579049756,0.995631247,15
2,0.666761348,0.999532798,15
3,0.726433206,0.999523265,14
4,0.624001224,0.998151411,11
5,0.734333015,0.998113329,12
6,0.689475243,0.998151411,12
7,0.588063948,0.997561274,10
8,0.5221514,0.998427551,14
9,0.62682247,0.999647197,13
Run # 1,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.114696125,0.879651453,12
1,0.503505759,0.951792963,11
2,0.619944687,0.951546698,14
3,0.652310801,0.977504951,13
4,0.574473785,0.9997044,12
5,0.593751664,0.985871356,14
6,0.710147654,0.996467496,11
7,0.686773147,0.999275444,12
8,0.713332969,0.999237322,14
9,0.746076919,0.999313567,15
Run # 2,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.085305846,0.916845037,9
1,0.385293111,0.95858316,15
2,0.574516109,0.95858316,9
3,0.540007179,0.996857328,10
4,0.595222685,0.996410459,10
5,0.647209603,0.996362931,13
6,0.596747294,0.998779967,8
7,0.607671433,0.964770362,11
8,0.649865309,0.98372675,9
9,0.650125172,0.983848917,13
Run # 3,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.070862531,0.850944791,13
1,0.526169219,0.852001034,9
2,0.491190389,0.854059137,8
3,0.555465081,0.854274297,11
4,0.59726336,0.995032957,12
5,0.707601636,0.995042451,12
6,0.702660962,0.995032957,10
7,0.68145257,0.997399517,10
8,0.735448977,0.99695243,16
9,0.662405573,0.988548593,11
Run # 4,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.107951734,0.867349042,10
1,0.340273299,0.945853068,10
2,0.649266354,0.957197805,9
3,0.729104849,0.98551363,10
4,0.771676376,0.985485393,11
5,0.773961373,0.988775138,13
6,0.724730256,0.988491964,12
7,0.551987802,0.983322755,11
8,0.647290787,0.983369724,11
9,0.597956072,0.980798829,13
Run # 5,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.124943459,0.808719118,14
1,0.507186003,0.941345549,12
2,0.622696512,0.941426838,14
3,0.61032853,0.941715918,16
4,0.639535076,0.947468895,12
5,0.57610579,0.947468895,15
6,0.628742003,0.949833558,12
7,0.737356308,0.984742092,12
8,0.573778299,0.992936751,12
9,0.647903073,0.999551863,15
Run # 6,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.073375729,0.91092647,10
1,0.404048227,0.985344221,9
2,0.532641803,0.987199731,10
3,0.652563449,0.990192103,14
4,0.850835132,0.989870764,16
5,0.733837971,0.989870764,12
6,0.76341615,0.985297168,15
7,0.690061184,0.990125937,15
8,0.727947699,0.999437475,14
9,0.63429459,0.985071341,13
Run # 7,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.088667061,0.625613856,10
1,0.342616237,0.657701652,8
2,0.513673938,0.872160229,11
3,0.415500231,0.800048131,11
4,0.468659634,0.933158829,11
5,0.536116027,0.933149868,10
6,0.537466768,0.938090147,14
7,0.447936032,0.942845902,10
8,0.666163734,0.961534185,15
9,0.607276894,0.938207201,13
Run # 8,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.110362008,0.772997973,15
1,0.412284526,0.773194663,15
2,0.539440324,0.853108052,13
3,0.618192795,0.924023187,16
4,0.629366727,0.92416531,14
5,0.563657495,0.941743023,12
6,0.532178721,0.924334107,13
7,0.653734916,0.979319093,15
8,0.70343545,0.999427943,15
9,0.681427481,0.998694234,13
Run # 9,,,
Generation #, Average Fitness, BestFitness, CorrectBits # 
0,0.091288313,0.949660576,12
1,0.466335928,0.958730059,10
2,0.473900518,0.953710311,12
3,0.549374504,0.954295336,13
4,0.643557484,0.958289424,10
5,0.723288855,0.983651577,10
6,0.795948045,0.990296085,14
7,0.731609824,0.98364218,12
8,0.81667548,0.969304497,11
9,0.743450678,0.970492079,10